% Model,2016_04_06_SiwHoles_dispersion.mph
% Version,COMSOL 5.1.0.180
% Date,"Apr 8 2016, 11:48"
% Dimension,3
% Nodes,1276
% Expressions,25
% Description,Velocity magnitude
% Length unit,m
% X,Y,Z,solid.vel (m/s) @ Eigenfrequency=1,solid.vel (m/s) @ Eigenfrequency=2,solid.vel (m/s) @ Eigenfrequency=3,solid.vel (m/s) @ Eigenfrequency=4,solid.vel (m/s) @ Eigenfrequency=5,solid.vel (m/s) @ Eigenfrequency=6,solid.vel (m/s) @ Eigenfrequency=7,solid.vel (m/s) @ Eigenfrequency=8,solid.vel (m/s) @ Eigenfrequency=9,solid.vel (m/s) @ Eigenfrequency=10,solid.vel (m/s) @ Eigenfrequency=11,solid.vel (m/s) @ Eigenfrequency=12,solid.vel (m/s) @ Eigenfrequency=13,solid.vel (m/s) @ Eigenfrequency=14,solid.vel (m/s) @ Eigenfrequency=15,solid.vel (m/s) @ Eigenfrequency=16,solid.vel (m/s) @ Eigenfrequency=17,solid.vel (m/s) @ Eigenfrequency=18,solid.vel (m/s) @ Eigenfrequency=19,solid.vel (m/s) @ Eigenfrequency=20,solid.vel (m/s) @ Eigenfrequency=21,solid.vel (m/s) @ Eigenfrequency=22,solid.vel (m/s) @ Eigenfrequency=23,solid.vel (m/s) @ Eigenfrequency=24,solid.vel (m/s) @ Eigenfrequency=25
6.871089490415424E-8,5.292577991159822E-8,2.792873738528836E-7,8.0867009880381975E9,8.887296264247108E8,1.1257146539118134E10,4.3859102191030765E8,1.9549624237593563E10,1.4092104378412893E9,2.842958514970238E10,5.73404907828455E8,4.872822735417151E10,6.406927991722901E9,9.059405300001515E8,7.260705976186557E8,4.246013257530075E10,7.421688342284527E9,3.227650959934682E8,1.167085711011696E9,3.238576150557425E9,4.8220300567947174E10,8.185708789866605E8,7.910117159470636E8,3.075096216515625E9,8.422472322908286E8,1.3380024595500937E9,3.6008245944253426E10,5.945520805391985E10
7.27318717496201E-8,6.274969730749807E-8,1.6918396415702936E-7,8.120485327519004E9,8.9652303221006E8,1.118707653524456E10,4.372664032508886E8,1.9827698860166813E10,1.0300680813967026E9,2.8398870933851276E10,4.3860029763135123E8,4.723487428598573E10,6.262963248557743E9,8.644595486148732E8,7.078388870334841E8,4.162215255425454E10,2.9326925897971196E9,9.684337464008278E7,1.271477737053364E9,3.2559488874436235E9,4.747304634848365E10,7.549802294361421E8,1.7870709009687936E8,2.916230489199888E9,5.958575549215074E8,2.5595156759182358E8,2.0155616546979477E10,5.879814285863451E10
3.6757144681393136E-8,9.843546411321241E-8,1.929492733237345E-7,8.263502897300374E9,8.938486066439013E8,1.118771905092924E10,4.096632115150902E8,2.0369252170826267E10,1.5348899725059512E9,2.5148269708468033E10,5.317068787108686E8,4.5026039721954216E10,5.908859403126744E9,9.173539284558063E8,9.173701481593343E8,4.533708500862669E10,1.2116355405737083E10,3.339518442967006E8,1.016464871670193E9,3.139542513594965E9,4.5523469550507286E10,1.0980204829952588E9,4.727104165966968E8,1.757826484435805E9,8.776637299452745E8,3.02303560842414E8,1.167259100835247E10,5.695149480731802E10
4.735516296334885E-8,1.0047770637069778E-7,2.5713143131484313E-7,8.226928460293801E9,8.961071200012051E8,1.1194953866772972E10,4.1957809876597905E8,2.0209525583850906E10,1.7407290706788032E9,2.499198521817346E10,6.556092425056974E8,4.512709449487808E10,5.933183851177017E9,8.799094682285293E8,9.382328319023502E8,4.311128650645106E10,1.4834137195589172E10,4.436461245150793E8,8.823604482401792E8,3.070310792786453E9,4.434221872193543E10,1.1565468727533796E9,8.530237630254445E8,1.7722632808494003E9,1.0576622101347375E9,1.0533178508075448E9,1.1178848615682222E10,5.36992043607633E10
5.202875303126429E-8,5.9415587489577465E-8,3.66E-7,8.026546264742298E9,8.708418928613865E8,1.1389041264275936E10,4.343358343717617E8,1.907474113942643E10,2.4125807220502167E9,2.637100555745667E10,9.219237485262223E8,5.0989025724471016E10,6.568876738802352E9,9.507353526153462E8,9.160555330425923E8,4.1135729963674995E10,2.1294479911978333E10,5.27616791462881E8,7.641852530075027E8,2.730682604763345E9,4.85091007362746E10,1.0658802673690917E9,1.1011072184404495E9,3.084654013072884E9,7.436886825787374E8,1.4374546591148016E9,5.203671687174302E10,5.955649303247534E10
7.822560393911033E-8,0,0,7.923392894453568E9,8.686345567717685E8,1.139152092326076E10,4.5704926665688986E8,1.8691641387290165E10,2.374244020420465E9,2.681644488398978E10,9.89734045089733E8,5.126424104077518E10,6.677339262595851E9,9.168499656629857E8,7.055641601110436E8,4.190803915519974E10,1.1272259925610888E10,3.1186989985323375E8,7.399830533272357E8,2.8354186785512576E9,4.7953267257198006E10,8.975829810465946E8,8.936093794995393E8,2.621889072740668E9,5.010953560687768E8,1.3971391443544824E9,7.562598484930168E10,6.039903536750828E10
9.049265051492152E-8,4.4196642471583966E-8,6.119293200428545E-8,7.978019289442761E9,8.857634490561292E8,1.124125954945695E10,4.576617575676648E8,1.9179035522988583E10,1.6437645658001559E9,2.839696254926226E10,7.330973711944618E8,4.828609149247598E10,6.396619422428943E9,8.478298712761706E8,6.231191710833849E8,3.852248095592607E10,5.12125586948027E9,4.1282632297183526E8,1.0625736633920085E9,3.051590046042023E9,4.5379575737983116E10,8.06193492489681E8,9.107022776117016E8,3.0509908687035375E9,8.556679031239896E8,1.525952701258221E9,5.440235752154359E10,5.2764029689313095E10
1.0688203618726342E-7,0,1.4393289483883264E-7,7.9285885805060005E9,8.906768670718751E8,1.1128123246152615E10,4.6563000103395915E8,1.9232229771939205E10,4.7129210507027125E8,3.0453542878893192E10,2.158588296478454E8,4.703984390107031E10,6.326505390266662E9,7.844790703991987E8,3.743938608593511E8,3.392999144227501E10,9.844923011714966E9,1.4162324516187376E8,1.4975346241416996E9,3.0335209400258327E9,4.381870354641109E10,2.9247859097443855E8,2.994991125923227E8,3.6497742765181355E9,3.295662772960663E8,6.441919974287736E8,5.111002352011744E10,4.254105830838216E10
9.378904232011116E-8,7.710110360093228E-8,1.0196518885814517E-7,8.035032534816151E9,8.974820203452414E8,1.1144253381146727E10,4.532103051907667E8,1.9602902183350338E10,1.552198793158988E9,2.711162447761529E10,7.258135941916105E8,4.585355050019811E10,6.12580045871706E9,7.627821394733924E8,7.24798377923977E8,3.562282845883761E10,6.175439553397869E9,3.7216729353384376E8,1.0098424558604428E9,2.9371796107729564E9,4.340452947314088E10,9.459139106943895E8,7.676087231004943E8,2.3387884700149713E9,9.207846532229632E8,1.1653965090912426E9,3.222439711994474E10,5.3495693854172844E10
1.2397256405029777E-7,0,6.973735823996479E-8,7.79975925714125E9,8.80188328797098E8,1.1128367123043333E10,4.818461222871066E8,1.8726606727865406E10,1.4283002606348207E9,2.9365899580519955E10,7.072846404690607E8,4.63237758679793E10,6.24590887605413E9,7.421031851919574E8,3.015929911495653E8,3.1638169456991215E10,1.1933528151508512E10,4.273018664644617E8,1.2738763792968404E9,2.7719522579255176E9,3.9237599784509514E10,5.812134740412444E8,8.024372650507201E8,3.2694491312969894E9,7.606330232655553E8,1.558701773809385E9,7.422701373257947E10,3.591724809669031E10
